,time,rent growth,Net Completions Rate,"Vacancy, Apartments, T4Q Average","Job Growth, Year-over-Year","Vacancy, Total Housing",HH Income YoY Growth Rate,,,,,
35059,3/31/2005,0.050695682,0.013203501,0.0868725,0.036414982,0.061162418,0.041750473,,,,,
35060,6/30/2005,0.061234755,0.013395915,0.08204,0.040300044,0.060729936,0.029242852,,,,,
35061,9/30/2005,0.070737991,0.010217191,0.07674,0.040461583,0.061866531,0.016069279,,,,,
35062,12/31/2005,0.066884649,0.013257108,0.0720425,0.037447789,0.053189089,0.009718689,,,,,
35063,3/31/2006,0.069904848,0.013909965,0.06716,0.03872078,0.048180215,0.018954522,,,,,
35064,6/30/2006,0.083052892,0.010038364,0.0630925,0.043545879,0.048074365,0.011582425,,,,,
35065,9/30/2006,0.093109759,0.014968771,0.0606675,0.052646357,0.038879992,0.023577537,,,,,
35066,12/31/2006,0.103709871,0.014065754,0.0588625,0.059558517,0.038964146,0.055030602,,,,,
35067,3/31/2007,0.101730429,0.016915887,0.057285,0.058539279,0.03792511,0.065542451,,,,,
35068,6/30/2007,0.087704261,0.025263061,0.056025,0.05378675,0.030484177,0.068487567,,,,,
35069,9/30/2007,0.067968897,0.02824962,0.056065,0.038676981,0.035568196,0.061493949,,,,,
35070,12/31/2007,0.055634859,0.032343191,0.056405,0.034067086,0.037426588,0.049014967,,,,,
35071,3/31/2008,0.051638945,0.035657344,0.05689,0.030129125,0.042252062,0.033692419,,,,,
35072,6/30/2008,0.035750547,0.036132244,0.058645,0.023142196,0.04880929,0.039107516,,,,,
35073,9/30/2008,0.022202633,0.03343276,0.063155,0.021571649,0.053246777,0.037693981,,,,,
35074,12/31/2008,-0.013542185,0.03249468,0.0711025,0.008362899,0.062969565,0.005125451,,,,,
35075,3/31/2009,-0.052955606,0.038281508,0.080975,-0.016333249,0.065288138,-0.04011798,,,,,
35076,6/30/2009,-0.080431054,0.038540393,0.0898025,-0.02199045,0.067517138,-0.038820735,,,,,
35077,9/30/2009,-0.10624976,0.042219875,0.09796,-0.030794369,0.067668728,-0.055752635,,,,,
35078,12/31/2009,-0.11147909,0.040619073,0.099195,-0.022870068,0.061605422,-0.038356806,,,,,
35079,3/31/2010,-0.06801937,0.030476934,0.0965475,0.004633801,0.057947289,-0.015322964,,,,,
35080,6/30/2010,-0.029484632,0.022232793,0.0901275,0.016574586,0.059222257,-0.009776107,,,,,
35081,9/30/2010,0.01589766,0.016922687,0.08351,0.021268318,0.064167316,0.002566149,,,,,
35082,12/31/2010,0.044261516,0.015341522,0.0748475,0.032150206,0.062524731,0.005431261,,,,,
35083,3/31/2011,0.065390572,0.00995561,0.0675925,0.031774504,0.062069075,0.02767524,,,,,
35084,6/30/2011,0.080277149,0.009493119,0.06175,0.031976744,0.051616145,0.015590943,,,,,
35085,9/30/2011,0.100293454,0.007932323,0.058025,0.040126984,0.038033239,0.022043157,,,,,
35086,12/31/2011,0.09258965,0.00571953,0.0548125,0.033516073,0.032116177,0.020503726,,,,,
35087,3/31/2012,0.087047662,0.009430643,0.0529325,0.03526636,0.031554467,0.044914742,,,,,
35088,6/30/2012,0.080319818,0.013425835,0.0510925,0.03882425,0.036589934,0.050793646,,,,,
35089,9/30/2012,0.079430612,0.015492601,0.0501825,0.041264803,0.039274907,0.054870555,,,,,
35090,12/31/2012,0.082221951,0.01888016,0.0493175,0.049065702,0.049707197,0.068397589,,,,,
35091,3/31/2013,0.08787774,0.016867993,0.04857,0.046539523,0.055809079,0.052153196,,,,,
35092,6/30/2013,0.080011439,0.02211217,0.0485225,0.049045037,0.056544699,0.051475047,,,,,
35093,9/30/2013,0.062964716,0.035958313,0.0487975,0.047250557,0.060389768,0.041497271,,,,,
35094,12/31/2013,0.055451863,0.040225968,0.0492275,0.044012871,0.059552729,0.026658215,,,,,
35095,3/31/2014,0.053627663,0.046151339,0.04941,0.048366762,0.054653865,0.025003477,,,,,
35096,6/30/2014,0.039339207,0.053575501,0.0497425,0.044616768,0.056375976,0.020213929,,,,,
35097,9/30/2014,0.029585728,0.057409522,0.0499175,0.040752351,0.058617122,0.037021391,,,,,
35098,12/31/2014,0.027827515,0.057269247,0.0516125,0.04270776,0.053934877,0.056244976,,,,,
35099,3/31/2015,0.022467343,0.055277138,0.05209,0.040122445,0.050230072,0.055812474,,,,,
35100,6/30/2015,0.034693027,0.050803607,0.0522,0.044109736,0.040493422,0.069412868,,,,,
35101,9/30/2015,0.057181032,0.038205336,0.051465,0.045718589,0.040259359,0.067195712,,,,,
35102,12/31/2015,0.051926195,0.038951994,0.0501875,0.043703156,0.034401803,0.062294131,,,,,
35103,3/31/2016,0.045601903,0.040613452,0.04976,0.04109733,0.030186113,0.059835621,,,,,
35104,6/30/2016,0.035987476,0.040830478,0.0496,0.035960845,0.031400619,0.05788036,,,,,
35105,9/30/2016,0.034443073,0.036231956,0.050225,0.038370538,0.02555639,0.049699681,,,,,
35106,12/31/2016,0.022565865,0.035761465,0.051355,0.034287448,0.030143821,0.043006405,,,,,
35107,3/31/2017,0.018232936,0.034317969,0.0525625,0.036446239,0.036996182,0.038839759,,,,,
35108,6/30/2017,0.019339247,0.033908778,0.053825,0.037099662,0.040431413,0.034726064,,,,,
35109,9/30/2017,-0.003335643,0.041733316,0.0556775,0.03021597,0.037455123,0.039719788,,,,,
35110,12/31/2017,-0.009029865,0.041327388,0.056685,0.034715431,0.03890535,0.045906772,,,,,
35111,3/31/2018,-0.005241847,0.039317686,0.0579325,0.035943892,0.039870029,0.044150176,,,,,
35112,6/30/2018,0.010003135,0.037904822,0.0581825,0.039800518,0.039709092,0.051533222,,,,,
35113,9/30/2018,0.030899226,0.033628906,0.0568275,0.040869314,0.040592138,0.05394761,,,,,
35114,12/31/2018,0.044574037,0.032278999,0.0559925,0.042245534,0.038348629,0.051112895,,,,,
35115,3/31/2019,0.046822875,0.036219519,0.05468,0.03977433,0.04191421,0.072508966,,,,,
35116,6/30/2019,0.045011949,0.040623341,0.05317,0.035971223,0.044667226,0.051297579,,,,,
35117,9/30/2019,0.054594437,0.040761064,0.0519725,0.038063562,0.04560293,0.042167585,,,,,
35118,12/31/2019,0.053626274,0.042036711,0.0516725,0.040079797,0.044526082,0.041510225,,,,,
35119,3/31/2020,0.034838621,0.048873452,0.05162,0.031018267,0.036859835,0.01359546,,,,,
35120,6/30/2020,-0.098120162,0.050052742,0.0551975,-0.05386396,0.033510503,-0.005233224,,,,,
35121,9/30/2020,-0.099687357,0.048839034,0.0588725,-0.034709861,0.035195002,0.009000834,,,,,
35122,12/31/2020,-0.097532356,0.048111688,0.062395,-0.020226678,0.031549653,0.028036767,,,,,
35123,3/31/2021,-0.067384721,0.041287611,0.0631675,-0.00877116,0.0296481,0.026340947,,,,,
35124,6/30/2021,0.162603459,0.038551796,0.0590375,0.101533829,0.028716972,0.077086401,,,,,
35125,9/30/2021,0.25544112,0.047872623,0.05147,0.095887885,0.028524922,0.078230441,,,,,
35126,12/31/2021,0.266400515,0.051898514,0.043235,0.100195764,0.033225833,0.077029751,,,,,
35127,3/31/2022,0.260513561,0.065494546,0.0368275,0.100610565,0.035931937,0.087748395,,,,,
35128,6/30/2022,0.199729766,0.065567792,0.0345975,0.088672476,0.033662533,0.077796182,,,,,
35129,9/30/2022,0.132817599,0.065650046,0.038576964,0.088339223,0.030756307,0.086921351,,,,,
35130,12/31/2022,0.051715527,0.064158985,0.045429464,0.0638143,0.027998357,0.053068593,,,,,
35131,3/31/2023,0.025920552,0.053948297,0.053391964,0.061505065,0.028603745,0.064662431,,,,,
35132,6/30/2023,-0.017732038,0.05528687,0.060164008,0.051004394,0.032657998,0.061467223,,,,,
35133,9/30/2023,-0.062717822,0.05500699,0.067424957,0.028215832,0.036615095,0.047612509,,,,,
35134,12/31/2023,-0.075772238,0.063466657,0.072134797,0.02699004,0.04031444,0.05078902,,,,,
35135,3/31/2024,-0.090542316,0.066689342,0.076157351,0.022343407,0.041630374,0.05721077,,,,,
35136,6/30/2024,-0.114257593,0.077402797,0.080232807,0.012169628,0.0430478,0.041465162,,,,,
35137,9/30/2024,-0.125811148,0.085760473,0.082502366,0.013983911,0.043751329,0.031487183,,,,,
35138,12/31/2024,-0.124759731,0.088817078,0.083512593,0.009475866,0.049879781,0.045476053,,,,,
35139,3/31/2025,-0.11360391,0.083490805,0.084366478,0.008149355,0.050351993,0.03533932,,,,,
35140,6/30/2025,-0.088006976,0.069351962,0.084061521,0.005753485,0.048419677,0.036991144,,,,,
35141,9/30/2025,-0.046356932,0.057746254,0.082586549,0.005635056,0.047764416,0.036726636,,,,,
35142,12/31/2025,-0.028436265,0.057519218,0.080841482,0.006966852,0.047683799,0.032359294,,,,,
